fabricante;nome;vazao;intervalo_trabalho
FABRIMAR;0.00;0.000000;0.000000
FABRIMAR;1.80;0.110000;0.119991
FABRIMAR;2.00;0.130000;0.139990
FABRIMAR;2.20;0.150000;0.164988
FABRIMAR;2.40;0.180000;0.199986
FABRIMAR;2.60;0.220000;0.234983
FABRIMAR;2.80;0.250000;0.269981
FABRIMAR;3.00;0.290000;0.309978
FABRIMAR;3.20;0.330000;0.349975
FABRIMAR;3.40;0.370000;0.389972
FABRIMAR;3.60;0.410000;0.434969
FABRIMAR;3.80;0.460000;0.484966
FABRIMAR;4.00;0.510000;0.534962
FABRIMAR;4.20;0.560000;0.584958
FABRIMAR;4.40;0.610000;0.634955
FABRIMAR;4.60;0.660000;0.694951
FABRIMAR;4.80;0.730000;0.759946
FABRIMAR;5.00;0.790000;0.819942
FABRIMAR;5.20;0.850000;0.884937
FABRIMAR;5.40;0.920000;0.954932
FABRIMAR;5.60;0.990000;1.024927
FABRIMAR;5.80;1.060000;1.109921
FABRIMAR;6.00;1.160000;1.199915
FABRIMAR;6.20;1.240000;1.274909
FABRIMAR;6.40;1.310000;1.349904
FABRIMAR;6.60;1.390000;1.434898
FABRIMAR;6.80;1.480000;1.524892
FABRIMAR;7.00;1.570000;1.614885
FABRIMAR;7.20;1.660000;1.704879
FABRIMAR;7.40;1.750000;1.794872
FABRIMAR;7.60;1.840000;1.884866
FABRIMAR;7.80;1.930000;1.989858
FABRIMAR;8.00;2.050000;2.154847
FABRIMAR;8.40;2.260000;2.379831
FABRIMAR;8.80;2.500000;2.614814
FABRIMAR;9.20;2.730000;2.849797
FABRIMAR;9.60;2.970000;3.009786
NELSON;0.00;0.000000;0.000000
NELSON;9.00;0.100043;0.111403
NELSON;10.00;0.122780;0.135276
NELSON;11.00;0.147791;0.163695
NELSON;12.00;0.179622;0.194388
NELSON;13.00;0.209180;0.225080
NELSON;14.00;0.241012;0.260320
NELSON;15.00;0.279665;0.298970
NELSON;16.00;0.318318;0.338757
NELSON;17.00;0.359245;0.378544
NELSON;18.00;0.397898;0.422878
NELSON;19.00;0.447919;0.472896
NELSON;20.00;0.497940;0.519503
NELSON;21.00;0.541141;0.570658
NELSON;22.00;0.600257;0.625223
NELSON;23.00;0.650278;0.684335
NELSON;24.00;0.718489;0.746857
NELSON;25.00;0.775332;0.808243
NELSON;26.00;0.841269;0.871902
NELSON;27.00;0.902659;0.942382
NELSON;28.00;0.982238;1.016272
NELSON;29.00;1.050449;1.086751
NELSON;30.00;1.123208;1.157231
NELSON;31.00;1.191419;1.235668
NELSON;32.00;1.280093;1.322063
NELSON;33.00;1.364220;1.406183
NELSON;34.00;1.448347;1.488031
NELSON;35.00;1.527926;1.566468
NELSON;36.00;1.605232;1.636948
NELSON;37.00;1.668896;1.740394
NELSON;38.00;1.812139;1.863165
NELSON;39.00;1.914455;1.963200
NELSON;40.00;2.012225;2.071193
NELSON;41.00;2.130457;2.180323
NELSON;42.00;2.230500;2.283769
NELSON;43.00;2.337364;2.390626
NELSON;44.00;2.444228;2.503166
NELSON;45.00;2.562460;2.619116
NELSON;46.00;2.676145;2.743024
NELSON;47.00;2.810293;2.866932
NELSON;48.00;2.923978;2.974925
NELSON;49.00;3.026295;3.094286
NELSON;50.00;3.162717;3.186364
SUPER SPRAY - UP3;0.00;0.000000;0.000000
SUPER SPRAY - UP3;4.00;0.079494;0.090843
SUPER SPRAY - UP3;4.50;0.102206;0.113554
SUPER SPRAY - UP3;5.00;0.124919;0.138536
SUPER SPRAY - UP3;5.50;0.152174;0.166925
SUPER SPRAY - UP3;6.00;0.181700;0.197584
SUPER SPRAY - UP3;6.50;0.213497;0.230515
SUPER SPRAY - UP3;7.00;0.247566;0.266853
SUPER SPRAY - UP3;7.50;0.286177;0.305461
SUPER SPRAY - UP3;8.00;0.324788;0.346341
SUPER SPRAY - UP3;8.50;0.367942;0.389491
SUPER SPRAY - UP3;9.00;0.411096;0.434913
SUPER SPRAY - UP3;9.50;0.458792;0.483741
SUPER SPRAY - UP3;10.00;0.508759;0.534841
SUPER SPRAY - UP3;10.50;0.560998;0.589347
SUPER SPRAY - UP3;11.00;0.617779;0.646124
SUPER SPRAY - UP3;11.50;0.674560;0.705172
SUPER SPRAY - UP3;12.00;0.735884;0.767627
SUPER SPRAY - UP3;12.50;0.799479;0.832353
SUPER SPRAY - UP3;13.00;0.865345;0.899350
SUPER SPRAY - UP3;13.50;0.933483;0.968618
SUPER SPRAY - UP3;14.00;1.003891;1.040157
SUPER SPRAY - UP3;14.50;1.076571;1.115103
SUPER SPRAY - UP3;15.00;1.153794;1.192320
SUPER SPRAY - UP3;15.50;1.231016;1.271808
SUPER SPRAY - UP3;16.00;1.312781;1.354703
SUPER SPRAY - UP3;16.50;1.396817;1.439868
SUPER SPRAY - UP3;17.00;1.483124;1.527305
SUPER SPRAY - UP3;17.50;1.571703;1.617013
SUPER SPRAY - UP3;18.00;1.662553;1.708992
SUPER SPRAY - UP3;18.50;1.755674;1.803242
SUPER SPRAY - UP3;19.00;1.851066;1.899763
SUPER SPRAY - UP3;19.50;1.948730;1.998555
SUPER SPRAY - UP3;20.00;2.048665;2.099619
SUPER SPRAY - UP3;20.50;2.150871;2.202953
SUPER SPRAY - UP3;21.00;2.255348;2.308559
SUPER SPRAY - UP3;21.50;2.362097;2.416435
SUPER SPRAY - UP3;22.00;2.471117;2.526583
SUPER SPRAY - UP3;22.50;2.582408;2.639002
SUPER SPRAY - UP3;23.00;2.695970;2.752556
SUPER SPRAY - UP3;23.50;2.809533;2.867246
SUPER SPRAY - UP3;24.00;2.925366;2.984207
SUPER SPRAY - UP3;24.50;3.043471;3.102303
SUPER SPRAY - UP3;25.00;3.161576;3.221535
SUPER SPRAY - UP3;25.50;3.281952;3.341903
SUPER SPRAY - UP3;26.00;3.402328;3.456592
SUPER SPRAY;0.00;0.000000;0.000000
SUPER SPRAY;4.00;0.042400;0.063578
SUPER SPRAY;4.50;0.084765;0.108812
SUPER SPRAY;5.00;0.132874;0.148900
SUPER SPRAY;5.50;0.164948;0.180971
SUPER SPRAY;6.00;0.197021;0.215333
SUPER SPRAY;6.50;0.233676;0.251985
SUPER SPRAY;7.00;0.270331;0.289783
SUPER SPRAY;7.50;0.309277;0.328726
SUPER SPRAY;8.00;0.348223;0.373397
SUPER SPRAY;8.50;0.398623;0.418067
SUPER SPRAY;9.00;0.437569;0.462737
SUPER SPRAY;9.50;0.487970;0.514279
SUPER SPRAY;10.00;0.540662;0.561240
SUPER SPRAY;10.50;0.581899;0.611637
SUPER SPRAY;11.00;0.641463;0.666616
SUPER SPRAY;11.50;0.691864;0.726176
SUPER SPRAY;12.00;0.760592;0.799481
SUPER SPRAY;12.50;0.838484;0.872786
SUPER SPRAY;13.00;0.907212;0.942654
SUPER SPRAY;13.50;0.978231;1.015959
SUPER SPRAY;14.00;1.053832;1.092700
SUPER SPRAY;14.50;1.131724;1.170587
SUPER SPRAY;15.00;1.209616;1.251909
SUPER SPRAY;15.50;1.294381;1.337813
SUPER SPRAY;16.00;1.381436;1.421427
SUPER SPRAY;16.50;1.461619;1.503895
SUPER SPRAY;17.00;1.546384;1.587508
SUPER SPRAY;17.50;1.628858;1.672267
SUPER SPRAY;18.00;1.715913;1.757025
SUPER SPRAY;18.50;1.798387;1.841784
SUPER SPRAY;19.00;1.885443;1.925397
SUPER SPRAY;19.50;1.965626;2.007865
SUPER SPRAY;20.00;2.050391;2.094915
SUPER SPRAY;20.50;2.139737;2.178528
SUPER SPRAY;21.00;2.217629;2.259851
SUPER SPRAY;21.50;2.302394;2.344609
SUPER SPRAY;22.00;2.387159;2.433950
SUPER SPRAY;22.50;2.481087;2.530162
SUPER SPRAY;23.00;2.579597;2.625230
SUPER SPRAY;23.50;2.671235;2.716861
SUPER SPRAY;24.00;2.762873;2.810782
SUPER SPRAY;24.50;2.859092;2.910431
SUPER SPRAY;25.00;2.962184;3.015807
SUPER SPRAY;25.50;3.069858;3.121183
SUPER SPRAY;26.00;3.172951;3.215104
