fabricante;nome;vazao;intervalo_trabalho
FABRIMAR;6.8/7.0;3.05;3.094779864
FABRIMAR;7.0/7.0;3.14;3.184773463
FABRIMAR;7.0/7.2;3.23;3.274767061
FABRIMAR;7.2/7.2;3.32;3.36476066
FABRIMAR;7.2/7.4;3.41;3.454754259
FABRIMAR;7.4/7.4;3.5;3.544747857
FABRIMAR;7.4/7.6;3.59;3.634741456
FABRIMAR;7.6/7.6;3.68;3.724735055
FABRIMAR;7.6/7.8;3.77;3.814728653
FABRIMAR;7.8/7.8;3.86;3.919721185
FABRIMAR;7.8/8.0;3.98;4.03971265
FABRIMAR;8.0/8.0;4.1;4.204700914
FABRIMAR;8.4/8.0;4.31;4.414685977
FABRIMAR;8.4/8.4;4.52;4.639669974
FABRIMAR;8.4/8.8;4.76;4.879652904
FABRIMAR;8.8/8.8;5;5.114636189
FABRIMAR;8.8/9.2;5.23;5.34461983
FABRIMAR;9.2/9.2;5.46;5.579603115
FABRIMAR;9.2/9.6;5.7;5.819586045
FABRIMAR;9.6/9.6;5.94;2.969788755
NELSON;36/36;3.2104644;3.242065588
NELSON;36/37;3.274128;3.305724659
NELSON;37/37;3.3377916;3.409170651
NELSON;37/38;3.4810347;3.552403563
NELSON;38/38;3.6242778;3.67517463
NELSON;38/39;3.7265943;3.777483852
NELSON;39/39;3.8289108;3.877519537
NELSON;39/40;3.9266799;3.975281683
NELSON;40/40;4.024449;4.083274751
NELSON;40/41;4.1426814;4.201498742
NELSON;41/41;4.2609138;4.310628579
NELSON;41/42;4.3609566;4.410664264
NELSON;42/42;4.4609994;4.514110255
NELSON;42/43;4.5678633;4.620966554
NELSON;43/43;4.6747272;4.727822854
NELSON;43/44;4.7815911;4.834679153
NELSON;44/44;4.888455;4.947219298
NELSON;44/45;5.0066874;5.065443288
NELSON;45/45;5.1249198;5.18139374
NELSON;45/46;5.2386048;5.295070655
NELSON;46/46;5.3522898;5.418978491
NELSON;46/47;5.4864381;5.553117249
NELSON;47/47;5.6205864;5.677025086
NELSON;47/48;5.7342714;5.790702
NELSON;48/48;5.8479564;5.898695068
NELSON;48/49;5.9502729;6.00100429
NELSON;49/49;6.0525894;6.12036505
NELSON;49/50;6.1890114;6.256777347
NELSON;50/50;6.3254334;6.324983495
SUPER SPRAY - UP3;18.5/18.5;3.511348171;3.558791221
SUPER SPRAY - UP3;18.5/19.0;3.606740554;3.654176818
SUPER SPRAY - UP3;19.0/19.0;3.702132936;3.750697959
SUPER SPRAY - UP3;19.0/19.5;3.799796566;3.848354642
SUPER SPRAY - UP3;19.5/19.5;3.897460195;3.947146868
SUPER SPRAY - UP3;19.5/20.0;3.997395072;4.047074637
SUPER SPRAY - UP3;20.0/20.0;4.097329949;4.148137948
SUPER SPRAY - UP3;20.0/20.5;4.199536073;4.250336803
SUPER SPRAY - UP3;20.5/20.5;4.301742197;4.3536712
SUPER SPRAY - UP3;20.5/21.0;4.406219568;4.45814114
SUPER SPRAY - UP3;21.0/21.0;4.510696939;4.563746623
SUPER SPRAY - UP3;21.0/21.5;4.617445558;4.670487649
SUPER SPRAY - UP3;21.5/21.5;4.724194176;4.778364217
SUPER SPRAY - UP3;21.5/22.0;4.833214042;4.887376329
SUPER SPRAY - UP3;22.0/22.0;4.942233907;4.997523983
SUPER SPRAY - UP3;22.0/22.5;5.05352502;5.10880718
SUPER SPRAY - UP3;22.5/22.5;5.164816133;5.22122592
SUPER SPRAY - UP3;22.5/23.0;5.278378493;5.334780203
SUPER SPRAY - UP3;23.0/23.0;5.391940853;5.448334485
SUPER SPRAY - UP3;23.0/23.5;5.505503213;5.561888768
SUPER SPRAY - UP3;23.5/23.5;5.619065573;5.676578594
SUPER SPRAY - UP3;23.5/24.0;5.73489918;5.792403962
SUPER SPRAY - UP3;24.0/24.0;5.850732787;5.909364873
SUPER SPRAY - UP3;24.0/24.5;5.968837642;6.027461327
SUPER SPRAY - UP3;24.5/24.5;6.086942496;6.145557781
SUPER SPRAY - UP3;24.5/25.0;6.20504735;6.263654235
SUPER SPRAY - UP3;25.0/25.0;6.323152205;6.382886232
SUPER SPRAY - UP3;25.0/25.5;6.443528306;6.503253772
SUPER SPRAY - UP3;25.5/25.5;6.563904408;6.623621312
SUPER SPRAY - UP3;25.5/26.0;6.68428051;6.743988851
SUPER SPRAY - UP3;26.0/26.0;6.804656611;6.804172621
SUPER SPRAY;17.5/17.5;3.25771544;3.301008478
SUPER SPRAY;17.5/18.0;3.344771127;3.388057973
SUPER SPRAY;18.0/18.0;3.431826814;3.472816692
SUPER SPRAY;18.0/18.5;3.514300622;3.555284634
SUPER SPRAY;18.5/18.5;3.596774431;3.640043353
